tick,timestamp,node_id,node_type,disrupted,available_supply,production_capacity,mortality_rate,processing_capacity,output_stock,inventory_level,pending_shipments,retail_inventory,safety_stock,stockout_flag,shortage_duration,sales_rate,reorder_request,scenario_id,mode
0,2026-06-30 06:00,supplier_1,supplier,0,889.02,,,,,,,,,,,,,91,hitl
0,2026-06-30 06:00,farm_1,farm,0,,779.0,0.0232,,,,,,,,,,,91,hitl
0,2026-06-30 06:00,slaughterhouse_1,slaughterhouse,0,,,,490.0,301.55,,,,,,,,,91,hitl
0,2026-06-30 06:00,wholesaler_1,wholesaler,0,,,,,,156.17,7.4,,,,,,,91,hitl
0,2026-06-30 06:00,retail_1,retail,0,,,,,,,,85.07,30.0,0.0,0.0,3.17,0.0,91,hitl
1,2026-06-30 06:15,supplier_1,supplier,0,888.23,,,,,,,,,,,,,91,hitl
1,2026-06-30 06:15,farm_1,farm,0,,779.0,0.0232,,,,,,,,,,,91,hitl
1,2026-06-30 06:15,slaughterhouse_1,slaughterhouse,0,,,,490.0,314.71,,,,,,,,,91,hitl
1,2026-06-30 06:15,wholesaler_1,wholesaler,0,,,,,,177.88,7.4,,,,,,,91,hitl
1,2026-06-30 06:15,retail_1,retail,0,,,,,,,,92.31,30.0,0.0,0.0,3.17,0.0,91,hitl
2,2026-06-30 06:30,supplier_1,supplier,0,887.62,,,,,,,,,,,,,91,hitl
2,2026-06-30 06:30,farm_1,farm,0,,779.0,0.0232,,,,,,,,,,,91,hitl
2,2026-06-30 06:30,slaughterhouse_1,slaughterhouse,0,,,,490.0,327.84,,,,,,,,,91,hitl
2,2026-06-30 06:30,wholesaler_1,wholesaler,0,,,,,,176.06,7.4,,,,,,,91,hitl
2,2026-06-30 06:30,retail_1,retail,0,,,,,,,,91.45,30.0,0.0,0.0,3.17,0.0,91,hitl
3,2026-06-30 06:45,supplier_1,supplier,0,886.91,,,,,,,,,,,,,91,hitl
3,2026-06-30 06:45,farm_1,farm,0,,779.0,0.0232,,,,,,,,,,,91,hitl
3,2026-06-30 06:45,slaughterhouse_1,slaughterhouse,0,,,,490.0,341.43,,,,,,,,,91,hitl
3,2026-06-30 06:45,wholesaler_1,wholesaler,0,,,,,,173.34,7.4,,,,,,,91,hitl
3,2026-06-30 06:45,retail_1,retail,0,,,,,,,,90.68,30.0,0.0,0.0,3.17,0.0,91,hitl
4,2026-06-30 07:00,supplier_1,supplier,0,886.22,,,,,,,,,,,,,91,hitl
4,2026-06-30 07:00,farm_1,farm,0,,779.0,0.0232,,,,,,,,,,,91,hitl
4,2026-06-30 07:00,slaughterhouse_1,slaughterhouse,0,,,,490.0,355.99,,,,,,,,,91,hitl
4,2026-06-30 07:00,wholesaler_1,wholesaler,0,,,,,,163.4,7.4,,,,,,,91,hitl
4,2026-06-30 07:00,retail_1,retail,0,,,,,,,,89.93,30.0,0.0,0.0,3.17,0.0,91,hitl
5,2026-06-30 07:15,supplier_1,supplier,0,885.02,,,,,,,,,,,,,91,hitl
5,2026-06-30 07:15,farm_1,farm,0,,779.0,0.0232,,,,,,,,,,,91,hitl
5,2026-06-30 07:15,slaughterhouse_1,slaughterhouse,0,,,,490.0,368.79,,,,,,,,,91,hitl
5,2026-06-30 07:15,wholesaler_1,wholesaler,0,,,,,,161.59,7.4,,,,,,,91,hitl
5,2026-06-30 07:15,retail_1,retail,0,,,,,,,,97.09,30.0,0.0,0.0,3.17,0.0,91,hitl
6,2026-06-30 07:30,supplier_1,supplier,0,883.96,,,,,,,,,,,,,91,hitl
6,2026-06-30 07:30,farm_1,farm,0,,779.0,0.0232,,,,,,,,,,,91,hitl
6,2026-06-30 07:30,slaughterhouse_1,slaughterhouse,0,,,,490.0,382.73,,,,,,,,,91,hitl
6,2026-06-30 07:30,wholesaler_1,wholesaler,0,,,,,,159.02,7.4,,,,,,,91,hitl
6,2026-06-30 07:30,retail_1,retail,0,,,,,,,,96.33,30.0,0.0,0.0,3.17,0.0,91,hitl
7,2026-06-30 07:45,supplier_1,supplier,0,882.47,,,,,,,,,,,,,91,hitl
7,2026-06-30 07:45,farm_1,farm,0,,779.0,0.0232,,,,,,,,,,,91,hitl
7,2026-06-30 07:45,slaughterhouse_1,slaughterhouse,0,,,,490.0,395.29,,,,,,,,,91,hitl
7,2026-06-30 07:45,wholesaler_1,wholesaler,0,,,,,,157.3,7.4,,,,,,,91,hitl
7,2026-06-30 07:45,retail_1,retail,0,,,,,,,,95.48,30.0,0.0,0.0,3.17,0.0,91,hitl
8,2026-06-30 08:00,supplier_1,supplier,0,881.54,,,,,,,,,,,,,91,hitl
8,2026-06-30 08:00,farm_1,farm,0,,779.0,0.0232,,,,,,,,,,,91,hitl
8,2026-06-30 08:00,slaughterhouse_1,slaughterhouse,0,,,,490.0,376.0,,,,,,,,,91,hitl
8,2026-06-30 08:00,wholesaler_1,wholesaler,0,,,,,,146.57,7.4,,,,,,,91,hitl
8,2026-06-30 08:00,retail_1,retail,0,,,,,,,,94.65,30.0,0.0,0.0,3.17,0.0,91,hitl
9,2026-06-30 08:15,supplier_1,supplier,0,880.77,,,,,,,,,,,,,91,hitl
9,2026-06-30 08:15,farm_1,farm,0,,779.0,0.0232,,,,,,,,,,,91,hitl
9,2026-06-30 08:15,slaughterhouse_1,slaughterhouse,0,,,,490.0,390.47,,,,,,,,,91,hitl
9,2026-06-30 08:15,wholesaler_1,wholesaler,0,,,,,,168.8,7.4,,,,,,,91,hitl
9,2026-06-30 08:15,retail_1,retail,0,,,,,,,,101.76,30.0,0.0,0.0,3.17,0.0,91,hitl
10,2026-06-30 08:30,supplier_1,supplier,0,880.2,,,,,,,,,,,,,91,hitl
10,2026-06-30 08:30,farm_1,farm,0,,779.0,0.0232,,,,,,,,,,,91,hitl
10,2026-06-30 08:30,slaughterhouse_1,slaughterhouse,0,,,,490.0,400.0,,,,,,,,,91,hitl
10,2026-06-30 08:30,wholesaler_1,wholesaler,0,,,,,,166.87,7.4,,,,,,,91,hitl
10,2026-06-30 08:30,retail_1,retail,0,,,,,,,,100.94,30.0,0.0,0.0,3.17,0.0,91,hitl
11,2026-06-30 08:45,supplier_1,supplier,0,878.79,,,,,,,,,,,,,91,hitl
11,2026-06-30 08:45,farm_1,farm,0,,779.0,0.0232,,,,,,,,,,,91,hitl
11,2026-06-30 08:45,slaughterhouse_1,slaughterhouse,0,,,,490.0,400.0,,,,,,,,,91,hitl
11,2026-06-30 08:45,wholesaler_1,wholesaler,0,,,,,,164.23,7.4,,,,,,,91,hitl
11,2026-06-30 08:45,retail_1,retail,0,,,,,,,,100.19,30.0,0.0,0.0,3.17,0.0,91,hitl
12,2026-06-30 09:00,supplier_1,supplier,0,878.01,,,,,,,,,,,,,91,hitl
12,2026-06-30 09:00,farm_1,farm,0,,779.0,0.0232,,,,,,,,,,,91,hitl
12,2026-06-30 09:00,slaughterhouse_1,slaughterhouse,0,,,,490.0,400.0,,,,,,,,,91,hitl
12,2026-06-30 09:00,wholesaler_1,wholesaler,0,,,,,,157.08,7.4,,,,,,,91,hitl
12,2026-06-30 09:00,retail_1,retail,0,,,,,,,,99.44,30.0,0.0,0.0,3.17,0.0,91,hitl
13,2026-06-30 09:15,supplier_1,supplier,0,877.03,,,,,,,,,,,,,91,hitl
13,2026-06-30 09:15,farm_1,farm,0,,779.0,0.0232,,,,,,,,,,,91,hitl
13,2026-06-30 09:15,slaughterhouse_1,slaughterhouse,0,,,,490.0,400.0,,,,,,,,,91,hitl
13,2026-06-30 09:15,wholesaler_1,wholesaler,0,,,,,,155.54,7.4,,,,,,,91,hitl
13,2026-06-30 09:15,retail_1,retail,0,,,,,,,,104.17,30.0,0.0,0.0,3.17,0.0,91,hitl
14,2026-06-30 09:30,supplier_1,supplier,0,876.39,,,,,,,,,,,,,91,hitl
14,2026-06-30 09:30,farm_1,farm,0,,779.0,0.0232,,,,,,,,,,,91,hitl
14,2026-06-30 09:30,slaughterhouse_1,slaughterhouse,0,,,,490.0,400.0,,,,,,,,,91,hitl
14,2026-06-30 09:30,wholesaler_1,wholesaler,0,,,,,,153.36,7.4,,,,,,,91,hitl
14,2026-06-30 09:30,retail_1,retail,0,,,,,,,,103.32,30.0,0.0,0.0,3.17,0.0,91,hitl
15,2026-06-30 09:45,supplier_1,supplier,0,875.44,,,,,,,,,,,,,91,hitl
15,2026-06-30 09:45,farm_1,farm,0,,779.0,0.0232,,,,,,,,,,,91,hitl
15,2026-06-30 09:45,slaughterhouse_1,slaughterhouse,0,,,,490.0,400.0,,,,,,,,,91,hitl
15,2026-06-30 09:45,wholesaler_1,wholesaler,0,,,,,,151.3,7.4,,,,,,,91,hitl
15,2026-06-30 09:45,retail_1,retail,0,,,,,,,,102.45,30.0,0.0,0.0,3.17,0.0,91,hitl
16,2026-06-30 10:00,supplier_1,supplier,0,874.14,,,,,,,,,,,,,91,hitl
16,2026-06-30 10:00,farm_1,farm,0,,779.0,0.0232,,,,,,,,,,,91,hitl
16,2026-06-30 10:00,slaughterhouse_1,slaughterhouse,0,,,,490.0,376.0,,,,,,,,,91,hitl
16,2026-06-30 10:00,wholesaler_1,wholesaler,0,,,,,,145.23,7.4,,,,,,,91,hitl
16,2026-06-30 10:00,retail_1,retail,0,,,,,,,,101.6,30.0,0.0,0.0,3.17,0.0,91,hitl
17,2026-06-30 10:15,supplier_1,supplier,0,872.88,,,,,,,,,,,,,91,hitl
17,2026-06-30 10:15,farm_1,farm,0,,779.0,0.0232,,,,,,,,,,,91,hitl
17,2026-06-30 10:15,slaughterhouse_1,slaughterhouse,0,,,,490.0,390.58,,,,,,,,,91,hitl
17,2026-06-30 10:15,wholesaler_1,wholesaler,0,,,,,,167.07,7.4,,,,,,,91,hitl
17,2026-06-30 10:15,retail_1,retail,0,,,,,,,,104.25,30.0,0.0,0.0,3.17,0.0,91,hitl
18,2026-06-30 10:30,supplier_1,supplier,0,872.19,,,,,,,,,,,,,91,hitl
18,2026-06-30 10:30,farm_1,farm,0,,779.0,0.0232,,,,,,,,,,,91,hitl
18,2026-06-30 10:30,slaughterhouse_1,slaughterhouse,0,,,,490.0,400.0,,,,,,,,,91,hitl
18,2026-06-30 10:30,wholesaler_1,wholesaler,0,,,,,,165.55,7.4,,,,,,,91,hitl
18,2026-06-30 10:30,retail_1,retail,0,,,,,,,,103.55,30.0,0.0,0.0,3.17,0.0,91,hitl
19,2026-06-30 10:45,supplier_1,supplier,0,870.84,,,,,,,,,,,,,91,hitl
19,2026-06-30 10:45,farm_1,farm,0,,779.0,0.0232,,,,,,,,,,,91,hitl
19,2026-06-30 10:45,slaughterhouse_1,slaughterhouse,0,,,,490.0,400.0,,,,,,,,,91,hitl
19,2026-06-30 10:45,wholesaler_1,wholesaler,0,,,,,,162.89,7.4,,,,,,,91,hitl
19,2026-06-30 10:45,retail_1,retail,0,,,,,,,,102.81,30.0,0.0,0.0,3.17,0.0,91,hitl
20,2026-06-30 11:00,supplier_1,supplier,0,869.45,,,,,,,,,,,,,91,hitl
20,2026-06-30 11:00,farm_1,farm,0,,779.0,0.0232,,,,,,,,,,,91,hitl
20,2026-06-30 11:00,slaughterhouse_1,slaughterhouse,0,,,,490.0,400.0,,,,,,,,,91,hitl
20,2026-06-30 11:00,wholesaler_1,wholesaler,0,,,,,,158.32,7.4,,,,,,,91,hitl
20,2026-06-30 11:00,retail_1,retail,0,,,,,,,,102.0,30.0,0.0,0.0,3.17,0.0,91,hitl
21,2026-06-30 11:15,supplier_1,supplier,0,868.93,,,,,,,,,,,,,91,hitl
21,2026-06-30 11:15,farm_1,farm,0,,779.0,0.0232,,,,,,,,,,,91,hitl
21,2026-06-30 11:15,slaughterhouse_1,slaughterhouse,0,,,,490.0,400.0,,,,,,,,,91,hitl
