timestamp,node_id,node_type,retail_inventory,capacity,safety_stock,sales_rate,expected_sales_rate,shortage_duration,demand_estimate,reorder_request,stockout_flag,stock_ratio,above_safety_stock,sales_vs_expected,disrupted
2026-01-01 06:00,retail_1,retail,81.7,150,30,8.45,10.0,0.0,98.2,0.0,0,0.545,1,0.845,0
2026-01-01 06:45,retail_1,retail,71.8,150,30,13.14,10.0,0.0,90.0,0.0,0,0.479,1,1.314,0
2026-01-01 07:30,retail_1,retail,63.4,150,30,11.18,10.0,0.0,88.3,0.0,0,0.423,1,1.118,0
2026-01-01 08:15,retail_1,retail,54.8,150,30,11.54,10.0,0.0,86.5,0.0,0,0.365,1,1.154,0
2026-01-01 09:00,retail_1,retail,45.0,150,30,13.07,10.0,0.0,86.7,0.0,0,0.3,1,1.307,0
2026-01-01 09:45,retail_1,retail,34.9,150,30,13.47,10.0,0.0,77.4,0.0,0,0.233,1,1.347,0
2026-01-01 10:30,retail_1,retail,27.7,150,30,9.6,10.0,0.0,91.0,49.0,0,0.185,0,0.96,0
2026-01-01 11:15,retail_1,retail,22.5,150,30,6.85,10.0,0.0,88.7,49.0,0,0.15,0,0.685,0
2026-01-01 12:00,retail_1,retail,15.1,150,30,9.84,10.0,0.0,94.6,52.0,0,0.101,0,0.984,0
2026-01-01 12:45,retail_1,retail,9.5,150,30,7.54,10.0,0.0,89.7,56.0,0,0.063,0,0.754,0
2026-01-01 13:30,retail_1,retail,5.3,150,30,5.61,10.0,0.0,87.8,52.0,0,0.035,0,0.561,0
2026-01-01 14:15,retail_1,retail,41.9,150,30,6.85,10.0,0.0,82.5,0.0,0,0.279,1,0.685,0
2026-01-01 15:00,retail_1,retail,32.0,150,30,13.19,10.0,0.0,89.5,0.0,0,0.213,1,1.319,0
2026-01-01 15:45,retail_1,retail,23.7,150,30,11.05,10.0,0.0,94.5,48.0,0,0.158,0,1.105,0
2026-01-01 16:30,retail_1,retail,14.3,150,30,12.64,10.0,0.0,80.4,52.0,0,0.095,0,1.264,0
2026-01-01 17:15,retail_1,retail,10.080464445751694,150,30,13.41,10.0,0.0,89.7,55.0,0,0.067,0,1.341,0
2026-01-01 18:00,retail_1,retail,14.543862272569086,150,30,12.47,10.0,0.0,90.7,42.0,0,0.097,0,1.247,0
2026-01-01 18:45,retail_1,retail,11.883008478253537,150,30,11.91,10.0,0.0,83.6,42.0,0,0.079,0,1.191,0
2026-01-01 19:30,retail_1,retail,13.6797902854637,150,30,10.56,10.0,0.0,84.6,43.0,0,0.091,0,1.056,0
2026-01-01 20:15,retail_1,retail,12.682812005698658,150,30,4.81,10.0,0.0,90.7,53.0,0,0.085,0,0.481,0
2026-01-01 21:00,retail_1,retail,7.900025044213054,150,30,3.41,10.0,0.0,80.5,57.0,0,0.053,0,0.341,0
2026-01-01 21:45,retail_1,retail,12.88736325099159,150,30,4.34,10.0,0.0,91.6,44.0,0,0.086,0,0.434,0
2026-01-01 22:30,retail_1,retail,46.7,150,30,4.18,10.0,0.0,82.3,0.0,0,0.311,1,0.418,0
2026-01-01 23:15,retail_1,retail,43.2,150,30,4.64,10.0,0.0,97.0,0.0,0,0.288,1,0.464,0
2026-01-02 00:00,retail_1,retail,40.9,150,30,3.1,10.0,0.0,106.5,0.0,0,0.273,1,0.31,0
2026-01-02 00:45,retail_1,retail,38.2,150,30,3.63,10.0,0.0,82.5,0.0,0,0.255,1,0.363,0
2026-01-02 01:30,retail_1,retail,35.2,150,30,3.91,10.0,0.0,93.0,0.0,0,0.235,1,0.391,0
2026-01-02 02:15,retail_1,retail,33.2,150,30,2.7,10.0,0.0,83.5,0.0,0,0.221,1,0.27,0
2026-01-02 03:00,retail_1,retail,30.1,150,30,4.09,10.0,0.0,96.8,0.0,0,0.201,1,0.409,0
2026-01-02 03:45,retail_1,retail,28.0,150,30,2.85,10.0,0.0,79.5,40.0,0,0.187,0,0.285,0
2026-01-02 04:30,retail_1,retail,25.5,150,30,3.28,10.0,0.0,92.6,53.0,0,0.17,0,0.328,0
2026-01-02 05:15,retail_1,retail,23.0,150,30,3.43,10.0,0.0,82.5,43.0,0,0.153,0,0.343,0
2026-01-02 06:00,retail_1,retail,12.1,150,30,14.5,10.0,0.0,87.4,40.0,0,0.081,0,1.45,0
2026-01-02 06:45,retail_1,retail,49.1,150,30,10.9,10.0,0.0,81.3,0.0,0,0.327,1,1.09,0
2026-01-02 07:30,retail_1,retail,42.5,150,30,8.83,10.0,0.0,95.2,0.0,0,0.283,1,0.883,0
2026-01-02 08:15,retail_1,retail,31.8,150,30,14.26,10.0,0.0,82.7,0.0,0,0.212,1,1.426,0
2026-01-02 09:00,retail_1,retail,23.9,150,30,10.42,10.0,0.0,93.1,46.0,0,0.159,0,1.042,0
2026-01-02 09:45,retail_1,retail,15.5,150,30,11.2,10.0,0.0,86.4,38.0,0,0.103,0,1.12,0
2026-01-02 10:30,retail_1,retail,10.4,150,30,6.92,10.0,0.0,88.1,50.0,0,0.069,0,0.692,0
2026-01-02 11:15,retail_1,retail,8.026799412917558,150,30,7.79,10.0,0.0,90.1,29.0,0,0.054,0,0.779,0
2026-01-02 12:00,retail_1,retail,12.201497331565227,150,30,7.24,10.0,0.0,83.3,47.0,0,0.081,0,0.724,0
2026-01-02 12:45,retail_1,retail,14.859860644809983,150,30,8.98,10.0,0.0,90.6,48.0,0,0.099,0,0.898,0
2026-01-02 13:30,retail_1,retail,14.294548556315576,150,30,8.29,10.0,0.0,100.5,55.0,0,0.095,0,0.829,0
2026-01-02 14:15,retail_1,retail,10.513045286438803,150,30,7.42,10.0,0.0,83.2,57.0,0,0.07,0,0.742,0
2026-01-02 15:00,retail_1,retail,44.4,150,30,14.5,10.0,0.0,97.8,0.0,0,0.296,1,1.45,0
2026-01-02 15:45,retail_1,retail,34.5,150,30,13.26,10.0,0.0,100.2,0.0,0,0.23,1,1.326,0
2026-01-02 16:30,retail_1,retail,27.3,150,30,9.49,10.0,0.0,82.9,41.0,0,0.182,0,0.949,0
2026-01-02 17:15,retail_1,retail,16.5,150,30,14.45,10.0,0.0,78.1,38.0,0,0.11,0,1.445,0
2026-01-02 18:00,retail_1,retail,6.7,150,30,13.13,10.0,0.0,91.3,51.0,0,0.045,0,1.313,0
2026-01-02 18:45,retail_1,retail,7.440812281270649,150,30,14.5,10.0,0.0,84.9,37.0,0,0.05,0,1.45,0
2026-01-02 19:30,retail_1,retail,10.415157822586421,150,30,13.02,10.0,0.0,103.0,44.0,0,0.069,0,1.302,0
2026-01-02 20:15,retail_1,retail,10.752199517743069,150,30,4.27,10.0,0.0,89.3,39.0,0,0.072,0,0.427,0
2026-01-02 21:00,retail_1,retail,14.428444263153088,150,30,4.66,10.0,0.0,83.0,53.0,0,0.096,0,0.466,0
2026-01-02 21:45,retail_1,retail,12.128688828657275,150,30,5.34,10.0,0.0,80.4,64.0,0,0.081,0,0.534,0
2026-01-02 22:30,retail_1,retail,9.493223333237191,150,30,4.28,10.0,0.0,97.2,36.0,0,0.063,0,0.428,0
2026-01-02 23:15,retail_1,retail,50.3,150,30,4.5,10.0,0.0,84.7,0.0,0,0.335,1,0.45,0
2026-01-03 00:00,retail_1,retail,48.0,150,30,3.1,10.0,0.0,89.3,0.0,0,0.32,1,0.31,0
2026-01-03 00:45,retail_1,retail,46.0,150,30,2.69,10.0,0.0,96.2,0.0,0,0.307,1,0.269,0
2026-01-03 01:30,retail_1,retail,43.8,150,30,2.86,10.0,0.0,85.4,0.0,0,0.292,1,0.286,0
