tick,timestamp,tier,rule_id,urgency,urgency_reason,global_pattern,disrupted_nodes,decision,response_time,modification_factor,n_instructions,instructions_summary,rationale,scenario_id
36,2026-07-16 15:00,farm,R4,normal,Gangguan lokal di Farm masih dapat diredam,0|1|0|0|0,farm,accept,1.769,1.0,1,outgoing_orders ×0.80,"Farm Manager menerima rekomendasi coordinator (R4, urgency=normal)",99
36,2026-07-16 15:00,slaughterhouse,R4,normal,Gangguan lokal di Farm masih dapat diredam,0|1|0|0|0,farm,accept,0.715,1.0,1,processing_capacity ×0.80,"Operations Manager menerima rekomendasi coordinator (R4, urgency=normal)",99
36,2026-07-16 15:00,retail,R4,normal,Gangguan lokal di Farm masih dapat diredam,0|1|0|0|0,farm,accept,0.232,1.0,1,reorder_request +20,"Store Manager menerima rekomendasi coordinator (R4, urgency=normal)",99
104,2026-07-17 08:00,wholesaler,R8,normal,Gangguan logistik bersifat lokal dan dapat diatasi,0|0|0|1|0,wholesaler,timeout,1.878,1.0,2,delivery_schedule='rerouted'; pending_shipments ×0.85,Distribution Manager tidak merespons dalam 1.5h → auto-accept,99
104,2026-07-17 08:00,retail,R8,normal,Gangguan logistik bersifat lokal dan dapat diatasi,0|0|0|1|0,wholesaler,modify,0.131,0.705,1,demand_estimate ×0.95,Store Manager memodifikasi instruksi (faktor=0.70) — pendekatan lebih konservatif,99
108,2026-07-17 09:00,farm,R12,high,Produksi dan distribusi terganggu secara bersamaan,0|1|0|1|0,farm|wholesaler,accept,1.938,1.0,2,outgoing_orders ×0.75; production_capacity ×1.05,"Farm Manager menerima rekomendasi coordinator (R12, urgency=high)",99
108,2026-07-17 09:00,wholesaler,R12,high,Produksi dan distribusi terganggu secara bersamaan,0|1|0|1|0,farm|wholesaler,accept,1.178,1.0,2,distribution_capacity ×0.85; delivery_schedule='rerouted',"Distribution Manager menerima rekomendasi coordinator (R12, urgency=high)",99
144,2026-07-17 18:00,wholesaler,R8,normal,Gangguan logistik bersifat lokal dan dapat diatasi,0|0|0|1|0,wholesaler,timeout,1.507,1.0,2,delivery_schedule='rerouted'; pending_shipments ×0.85,Distribution Manager tidak merespons dalam 1.5h → auto-accept,99
144,2026-07-17 18:00,retail,R8,normal,Gangguan logistik bersifat lokal dan dapat diatasi,0|0|0|1|0,wholesaler,accept,0.265,1.0,1,demand_estimate ×0.95,"Store Manager menerima rekomendasi coordinator (R8, urgency=normal)",99
180,2026-07-18 03:00,farm,R12,high,Produksi dan distribusi terganggu secara bersamaan,0|1|0|1|0,farm|wholesaler,accept,1.67,1.0,2,outgoing_orders ×0.75; production_capacity ×1.05,"Farm Manager menerima rekomendasi coordinator (R12, urgency=high)",99
180,2026-07-18 03:00,wholesaler,R12,high,Produksi dan distribusi terganggu secara bersamaan,0|1|0|1|0,farm|wholesaler,accept,1.418,1.0,2,distribution_capacity ×0.85; delivery_schedule='rerouted',"Distribution Manager menerima rekomendasi coordinator (R12, urgency=high)",99
