timestamp,node_id,node_type,available_supply,capacity,lead_time,shipment_status,price_index,supplier_reliability,stock_ratio,disrupted
2026-01-01 06:00,supplier_1,supplier,934.0,1000,2.13,on_time,1.015,0.964,0.934,0
2026-01-02 00:00,supplier_1,supplier,916.0,1000,2.03,on_time,1.029,0.934,0.916,0
2026-01-02 18:00,supplier_1,supplier,938.0,1000,1.98,on_time,1.057,0.975,0.938,0
2026-01-03 12:00,supplier_1,supplier,963.0,1000,1.95,on_time,1.007,0.925,0.963,0
2026-01-04 06:00,supplier_1,supplier,913.0,1000,1.73,on_time,1.0,0.961,0.913,0
2026-01-05 00:00,supplier_1,supplier,913.0,1000,1.87,on_time,1.007,0.989,0.913,0
2026-01-05 18:00,supplier_1,supplier,964.0,1000,1.92,on_time,1.043,0.932,0.964,0
2026-01-06 12:00,supplier_1,supplier,941.0,1000,2.19,on_time,1.028,0.94,0.941,0
2026-01-07 06:00,supplier_1,supplier,907.0,1000,2.06,on_time,1.007,0.952,0.907,0
2026-01-08 00:00,supplier_1,supplier,935.0,1000,1.68,on_time,1.033,0.941,0.935,0
2026-01-08 18:00,supplier_1,supplier,907.0,1000,2.06,on_time,1.022,0.922,0.907,0
2026-01-09 12:00,supplier_1,supplier,907.0,1000,1.93,on_time,1.044,0.951,0.907,0
2026-01-10 06:00,supplier_1,supplier,927.0,1000,1.88,on_time,1.002,0.931,0.927,0
2026-01-11 00:00,supplier_1,supplier,866.0,1000,2.11,on_time,1.012,0.959,0.866,0
2026-01-11 18:00,supplier_1,supplier,872.0,1000,2.19,on_time,1.01,0.933,0.872,0
2026-01-12 12:00,supplier_1,supplier,904.0,1000,2.17,on_time,0.983,0.978,0.904,0
2026-01-13 06:00,supplier_1,supplier,892.0,1000,1.85,on_time,1.027,0.936,0.892,0
2026-01-14 00:00,supplier_1,supplier,929.0,1000,1.94,on_time,1.027,0.944,0.929,0
2026-01-14 18:00,supplier_1,supplier,895.0,1000,2.06,on_time,1.02,0.965,0.895,0
2026-01-15 12:00,supplier_1,supplier,880.0,1000,2.18,on_time,1.014,0.928,0.88,0
2026-01-16 06:00,supplier_1,supplier,961.0,1000,1.91,on_time,0.985,0.954,0.961,0
2026-01-17 00:00,supplier_1,supplier,914.0,1000,1.97,on_time,1.009,0.974,0.914,0
2026-01-17 18:00,supplier_1,supplier,922.0,1000,1.8,on_time,1.011,0.921,0.922,0
2026-01-18 12:00,supplier_1,supplier,880.0,1000,1.78,on_time,1.0,0.953,0.88,0
2026-01-19 06:00,supplier_1,supplier,905.0,1000,2.15,on_time,1.016,0.955,0.905,0
2026-01-20 00:00,supplier_1,supplier,923.0,1000,2.24,on_time,1.03,0.964,0.923,0
2026-01-20 18:00,supplier_1,supplier,888.0,1000,1.99,on_time,1.067,0.928,0.888,0
2026-01-21 12:00,supplier_1,supplier,931.0,1000,2.18,on_time,1.024,0.926,0.931,0
2026-01-22 06:00,supplier_1,supplier,903.0,1000,2.07,on_time,1.026,0.959,0.903,0
2026-01-23 00:00,supplier_1,supplier,912.0,1000,1.88,on_time,1.018,0.955,0.912,0
2026-01-23 18:00,supplier_1,supplier,903.0,1000,2.07,on_time,0.972,0.955,0.903,0
2026-01-24 12:00,supplier_1,supplier,972.0,1000,2.28,on_time,1.019,0.956,0.972,0
2026-01-25 06:00,supplier_1,supplier,920.0,1000,1.99,on_time,1.022,0.938,0.92,0
2026-01-26 00:00,supplier_1,supplier,890.0,1000,2.28,on_time,1.082,0.954,0.89,0
2026-01-26 18:00,supplier_1,supplier,943.0,1000,1.53,on_time,1.015,0.955,0.943,0
2026-01-27 12:00,supplier_1,supplier,886.0,1000,2.15,on_time,1.028,0.937,0.886,0
2026-01-28 06:00,supplier_1,supplier,926.0,1000,2.02,on_time,1.019,0.984,0.926,0
2026-01-29 00:00,supplier_1,supplier,865.0,1000,1.95,on_time,0.991,0.959,0.865,0
2026-01-29 18:00,supplier_1,supplier,883.0,1000,2.02,on_time,1.049,0.929,0.883,0
2026-01-30 12:00,supplier_1,supplier,926.0,1000,1.64,on_time,1.039,0.962,0.926,0
