timestamp,node_id,node_type,inventory_level,capacity,stock_ratio,reorder_point,shipment_status,distribution_capacity,pending_shipments,delivery_schedule,incoming_orders,order_vs_capacity,disrupted
2026-01-01 06:00,wholesaler_1,wholesaler,183.7,300,0.612,90,on_time,300,6.5,normal,130.0,0.433,0
2026-01-01 08:00,wholesaler_1,wholesaler,171.1,300,0.57,90,on_time,300,11.4,normal,153.0,0.51,0
2026-01-01 10:00,wholesaler_1,wholesaler,154.5,300,0.515,90,on_time,300,9.6,normal,146.0,0.487,0
2026-01-01 12:00,wholesaler_1,wholesaler,147.9,300,0.493,90,on_time,300,9.8,normal,141.0,0.47,0
2026-01-01 14:00,wholesaler_1,wholesaler,132.4,300,0.441,90,on_time,300,8.3,normal,149.0,0.497,0
2026-01-01 16:00,wholesaler_1,wholesaler,121.1,300,0.404,90,on_time,300,3.4,normal,147.0,0.49,0
2026-01-01 18:00,wholesaler_1,wholesaler,112.6,300,0.375,90,on_time,300,2.9,normal,153.0,0.51,0
2026-01-01 20:00,wholesaler_1,wholesaler,105.3,300,0.351,90,on_time,300,7.1,normal,169.0,0.563,0
2026-01-01 22:00,wholesaler_1,wholesaler,96.0,300,0.32,90,on_time,300,8.2,normal,157.0,0.523,0
2026-01-02 00:00,wholesaler_1,wholesaler,96.0,300,0.32,90,on_time,300,4.4,normal,149.0,0.497,0
2026-01-02 02:00,wholesaler_1,wholesaler,96.0,300,0.32,90,on_time,300,9.4,normal,177.0,0.59,0
2026-01-02 04:00,wholesaler_1,wholesaler,96.0,300,0.32,90,on_time,300,16.9,normal,163.0,0.543,0
2026-01-02 06:00,wholesaler_1,wholesaler,158.8,300,0.529,90,on_time,300,0.0,normal,141.0,0.47,0
2026-01-02 08:00,wholesaler_1,wholesaler,151.5,300,0.505,90,on_time,300,10.1,normal,121.0,0.403,0
2026-01-02 10:00,wholesaler_1,wholesaler,142.0,300,0.473,90,on_time,300,7.2,normal,125.0,0.417,0
