timestamp,node_id,node_type,retail_inventory,capacity,stock_ratio,safety_stock,above_safety_stock,sales_rate,expected_sales_rate,sales_vs_expected,shortage_duration,demand_estimate,reorder_request,stockout_flag,disrupted
2026-01-01 06:00,retail_1,retail,81.7,150,0.545,30,1,8.45,10.0,0.845,0.0,98.2,0.0,0,0
2026-01-01 06:45,retail_1,retail,71.8,150,0.479,30,1,13.14,10.0,1.314,0.0,90.0,0.0,0,0
2026-01-01 07:30,retail_1,retail,63.4,150,0.423,30,1,11.18,10.0,1.118,0.0,88.3,0.0,0,0
2026-01-01 08:15,retail_1,retail,54.8,150,0.365,30,1,11.54,10.0,1.154,0.0,86.5,0.0,0,0
2026-01-01 09:00,retail_1,retail,45.0,150,0.3,30,1,13.07,10.0,1.307,0.0,86.7,0.0,0,0
2026-01-01 09:45,retail_1,retail,34.9,150,0.233,30,1,13.47,10.0,1.347,0.0,77.4,0.0,0,0
2026-01-01 10:30,retail_1,retail,27.7,150,0.185,30,0,9.6,10.0,0.96,0.0,91.0,49.0,0,0
2026-01-01 11:15,retail_1,retail,22.5,150,0.15,30,0,6.85,10.0,0.685,0.0,88.7,49.0,0,0
2026-01-01 12:00,retail_1,retail,15.1,150,0.101,30,0,9.84,10.0,0.984,0.0,94.6,52.0,0,0
2026-01-01 12:45,retail_1,retail,9.5,150,0.063,30,0,7.54,10.0,0.754,0.0,89.7,56.0,0,0
2026-01-01 13:30,retail_1,retail,5.3,150,0.035,30,0,5.61,10.0,0.561,0.0,87.8,52.0,0,0
2026-01-01 14:15,retail_1,retail,41.9,150,0.279,30,1,6.85,10.0,0.685,0.0,82.5,0.0,0,0
2026-01-01 15:00,retail_1,retail,32.0,150,0.213,30,1,13.19,10.0,1.319,0.0,89.5,0.0,0,0
2026-01-01 15:45,retail_1,retail,23.7,150,0.158,30,0,11.05,10.0,1.105,0.0,94.5,48.0,0,0
2026-01-01 16:30,retail_1,retail,14.3,150,0.095,30,0,12.64,10.0,1.264,0.0,80.4,52.0,0,0
2026-01-01 17:15,retail_1,retail,10.080464445751694,150,0.067,30,0,13.41,10.0,1.341,0.0,89.7,55.0,0,0
2026-01-01 18:00,retail_1,retail,14.543862272569086,150,0.097,30,0,12.47,10.0,1.247,0.0,90.7,42.0,0,0
2026-01-01 18:45,retail_1,retail,11.883008478253537,150,0.079,30,0,11.91,10.0,1.191,0.0,83.6,42.0,0,0
2026-01-01 19:30,retail_1,retail,13.6797902854637,150,0.091,30,0,10.56,10.0,1.056,0.0,84.6,43.0,0,0
2026-01-01 20:15,retail_1,retail,12.682812005698658,150,0.085,30,0,4.81,10.0,0.481,0.0,90.7,53.0,0,0
2026-01-01 21:00,retail_1,retail,7.900025044213054,150,0.053,30,0,3.41,10.0,0.341,0.0,80.5,57.0,0,0
2026-01-01 21:45,retail_1,retail,12.88736325099159,150,0.086,30,0,4.34,10.0,0.434,0.0,91.6,44.0,0,0
2026-01-01 22:30,retail_1,retail,46.7,150,0.311,30,1,4.18,10.0,0.418,0.0,82.3,0.0,0,0
2026-01-01 23:15,retail_1,retail,43.2,150,0.288,30,1,4.64,10.0,0.464,0.0,97.0,0.0,0,0
2026-01-02 00:00,retail_1,retail,40.9,150,0.273,30,1,3.1,10.0,0.31,0.0,106.5,0.0,0,0
2026-01-02 00:45,retail_1,retail,38.2,150,0.255,30,1,3.63,10.0,0.363,0.0,82.5,0.0,0,0
2026-01-02 01:30,retail_1,retail,35.2,150,0.235,30,1,3.91,10.0,0.391,0.0,93.0,0.0,0,0
2026-01-02 02:15,retail_1,retail,33.2,150,0.221,30,1,2.7,10.0,0.27,0.0,83.5,0.0,0,0
2026-01-02 03:00,retail_1,retail,30.1,150,0.201,30,1,4.09,10.0,0.409,0.0,96.8,0.0,0,0
2026-01-02 03:45,retail_1,retail,28.0,150,0.187,30,0,2.85,10.0,0.285,0.0,79.5,40.0,0,0
2026-01-02 04:30,retail_1,retail,25.5,150,0.17,30,0,3.28,10.0,0.328,0.0,92.6,53.0,0,0
2026-01-02 05:15,retail_1,retail,23.0,150,0.153,30,0,3.43,10.0,0.343,0.0,82.5,43.0,0,0
2026-01-02 06:00,retail_1,retail,11.1,150,0.074,30,0,15.84,10.0,1.584,0.0,87.4,40.0,0,0
2026-01-02 06:45,retail_1,retail,48.1,150,0.321,30,1,10.9,10.0,1.09,0.0,81.3,0.0,0,0
2026-01-02 07:30,retail_1,retail,41.5,150,0.277,30,1,8.83,10.0,0.883,0.0,95.2,0.0,0,0
2026-01-02 08:15,retail_1,retail,30.8,150,0.205,30,1,14.26,10.0,1.426,0.0,82.7,0.0,0,0
2026-01-02 09:00,retail_1,retail,22.9,150,0.153,30,0,10.42,10.0,1.042,0.0,93.1,46.0,0,0
2026-01-02 09:45,retail_1,retail,14.5,150,0.097,30,0,11.2,10.0,1.12,0.0,86.4,38.0,0,0
2026-01-02 10:30,retail_1,retail,9.4,150,0.063,30,0,6.92,10.0,0.692,0.0,88.1,50.0,0,0
2026-01-02 11:15,retail_1,retail,8.026799412917558,150,0.054,30,0,7.79,10.0,0.779,0.0,90.1,29.0,0,0
2026-01-02 12:00,retail_1,retail,12.201497331565227,150,0.081,30,0,7.24,10.0,0.724,0.0,83.3,47.0,0,0
2026-01-02 12:45,retail_1,retail,14.859860644809983,150,0.099,30,0,8.98,10.0,0.898,0.0,90.6,48.0,0,0
2026-01-02 13:30,retail_1,retail,14.294548556315576,150,0.095,30,0,8.29,10.0,0.829,0.0,100.5,55.0,0,0
2026-01-02 14:15,retail_1,retail,10.513045286438803,150,0.07,30,0,7.42,10.0,0.742,0.0,83.2,57.0,0,0
2026-01-02 15:00,retail_1,retail,44.4,150,0.296,30,1,14.58,10.0,1.458,0.0,97.8,0.0,0,0
2026-01-02 15:45,retail_1,retail,34.5,150,0.23,30,1,13.26,10.0,1.326,0.0,100.2,0.0,0,0
2026-01-02 16:30,retail_1,retail,27.3,150,0.182,30,0,9.49,10.0,0.949,0.0,82.9,41.0,0,0
2026-01-02 17:15,retail_1,retail,16.5,150,0.11,30,0,14.45,10.0,1.445,0.0,78.1,38.0,0,0
2026-01-02 18:00,retail_1,retail,6.7,150,0.045,30,0,13.13,10.0,1.313,0.0,91.3,51.0,0,0
2026-01-02 18:45,retail_1,retail,7.440812281270649,150,0.05,30,0,15.29,10.0,1.529,0.0,84.9,37.0,0,0
2026-01-02 19:30,retail_1,retail,10.415157822586421,150,0.069,30,0,13.02,10.0,1.302,0.0,103.0,44.0,0,0
2026-01-02 20:15,retail_1,retail,10.752199517743069,150,0.072,30,0,4.27,10.0,0.427,0.0,89.3,39.0,0,0
2026-01-02 21:00,retail_1,retail,14.428444263153088,150,0.096,30,0,4.66,10.0,0.466,0.0,83.0,53.0,0,0
2026-01-02 21:45,retail_1,retail,12.128688828657275,150,0.081,30,0,5.34,10.0,0.534,0.0,80.4,64.0,0,0
2026-01-02 22:30,retail_1,retail,9.493223333237191,150,0.063,30,0,4.28,10.0,0.428,0.0,97.2,36.0,0,0
2026-01-02 23:15,retail_1,retail,50.3,150,0.335,30,1,4.5,10.0,0.45,0.0,84.7,0.0,0,0
2026-01-03 00:00,retail_1,retail,48.0,150,0.32,30,1,3.1,10.0,0.31,0.0,89.3,0.0,0,0
2026-01-03 00:45,retail_1,retail,46.0,150,0.307,30,1,2.69,10.0,0.269,0.0,96.2,0.0,0,0
2026-01-03 01:30,retail_1,retail,43.8,150,0.292,30,1,2.86,10.0,0.286,0.0,85.4,0.0,0,0
2026-01-03 02:15,retail_1,retail,41.4,150,0.276,30,1,3.28,10.0,0.328,0.0,88.7,0.0,0,0
2026-01-03 03:00,retail_1,retail,38.6,150,0.257,30,1,3.74,10.0,0.374,0.0,88.9,0.0,0,0
2026-01-03 03:45,retail_1,retail,36.1,150,0.241,30,1,3.34,10.0,0.334,0.0,94.1,0.0,0,0
2026-01-03 04:30,retail_1,retail,33.7,150,0.225,30,1,3.18,10.0,0.318,0.0,93.4,0.0,0,0
2026-01-03 05:15,retail_1,retail,31.6,150,0.211,30,1,2.83,10.0,0.283,0.0,87.3,0.0,0,0
2026-01-03 06:00,retail_1,retail,21.4,150,0.143,30,0,13.61,10.0,1.361,0.0,89.5,45.0,0,0
2026-01-03 06:45,retail_1,retail,12.0,150,0.08,30,0,12.52,10.0,1.252,0.0,86.2,50.0,0,0
2026-01-03 07:30,retail_1,retail,63.1,150,0.421,30,1,10.63,10.0,1.063,0.0,77.9,0.0,0,0
2026-01-03 08:15,retail_1,retail,53.2,150,0.355,30,1,13.28,10.0,1.328,0.0,90.9,0.0,0,0
2026-01-03 09:00,retail_1,retail,43.6,150,0.291,30,1,12.72,10.0,1.272,0.0,103.2,0.0,0,0
2026-01-03 09:45,retail_1,retail,35.8,150,0.239,30,1,10.46,10.0,1.046,0.0,82.4,0.0,0,0
2026-01-03 10:30,retail_1,retail,29.7,150,0.198,30,0,8.08,10.0,0.808,0.0,83.2,53.0,0,0
2026-01-03 11:15,retail_1,retail,24.0,150,0.16,30,0,7.63,10.0,0.763,0.0,82.5,43.0,0,0
2026-01-03 12:00,retail_1,retail,15.6,150,0.104,30,0,11.22,10.0,1.122,0.0,94.4,31.0,0,0
2026-01-03 12:45,retail_1,retail,9.0,150,0.06,30,0,8.81,10.0,0.881,0.0,92.4,44.0,0,0
2026-01-03 13:30,retail_1,retail,7.615753464064139,150,0.051,30,0,8.41,10.0,0.841,0.0,87.8,57.0,0,0
2026-01-03 14:15,retail_1,retail,12.366120203544286,150,0.082,30,0,8.74,10.0,0.874,0.0,82.1,45.0,0,0
2026-01-03 15:00,retail_1,retail,13.570075362982763,150,0.09,30,0,15.27,10.0,1.527,0.0,89.7,40.0,0,0
2026-01-03 15:45,retail_1,retail,44.5,150,0.297,30,1,12.65,10.0,1.265,0.0,77.3,0.0,0,0
2026-01-03 16:30,retail_1,retail,35.7,150,0.238,30,1,11.74,10.0,1.174,0.0,90.1,0.0,0,0
2026-01-03 17:15,retail_1,retail,25.0,150,0.167,30,0,14.31,10.0,1.431,0.0,95.5,43.0,0,0
2026-01-03 18:00,retail_1,retail,15.6,150,0.104,30,0,12.49,10.0,1.249,0.0,79.6,49.0,0,0
2026-01-03 18:45,retail_1,retail,7.5,150,0.05,30,0,10.88,10.0,1.088,0.0,77.5,55.0,0,0
2026-01-03 19:30,retail_1,retail,11.404565076330915,150,0.076,30,0,10.53,10.0,1.053,0.0,100.8,69.0,0,0
2026-01-03 20:15,retail_1,retail,8.539945205086617,150,0.057,30,0,5.83,10.0,0.583,0.0,84.4,55.0,0,0
2026-01-03 21:00,retail_1,retail,7.815030113116452,150,0.052,30,0,4.89,10.0,0.489,0.0,97.5,58.0,0,0
2026-01-03 21:45,retail_1,retail,14.288964011135661,150,0.095,30,0,4.4,10.0,0.44,0.0,87.8,43.0,0,0
2026-01-03 22:30,retail_1,retail,13.564060033856872,150,0.09,30,0,4.64,10.0,0.464,0.0,87.8,39.0,0,0
2026-01-03 23:15,retail_1,retail,13.080279214425392,150,0.087,30,0,5.34,10.0,0.534,0.0,92.3,49.0,0,0
2026-01-04 00:00,retail_1,retail,49.0,150,0.327,30,1,3.07,10.0,0.307,0.0,82.4,0.0,0,0
2026-01-04 00:45,retail_1,retail,47.1,150,0.314,30,1,2.55,10.0,0.255,0.0,90.0,0.0,0,0
2026-01-04 01:30,retail_1,retail,44.6,150,0.297,30,1,3.35,10.0,0.335,0.0,86.1,0.0,0,0
2026-01-04 02:15,retail_1,retail,41.8,150,0.279,30,1,3.74,10.0,0.374,0.0,79.1,0.0,0,0
2026-01-04 03:00,retail_1,retail,39.0,150,0.26,30,1,3.71,10.0,0.371,0.0,91.5,0.0,0,0
2026-01-04 03:45,retail_1,retail,36.8,150,0.245,30,1,2.95,10.0,0.295,0.0,87.0,0.0,0,0
2026-01-04 04:30,retail_1,retail,33.9,150,0.226,30,1,3.77,10.0,0.377,0.0,87.8,0.0,0,0
2026-01-04 05:15,retail_1,retail,31.5,150,0.21,30,1,3.3,10.0,0.33,0.0,79.9,0.0,0,0
2026-01-04 06:00,retail_1,retail,21.1,150,0.141,30,0,13.85,10.0,1.385,0.0,100.9,43.0,0,0
2026-01-04 06:45,retail_1,retail,11.5,150,0.077,30,0,12.75,10.0,1.275,0.0,95.6,37.0,0,0
2026-01-04 07:30,retail_1,retail,8.473989212581394,150,0.056,30,0,9.29,10.0,0.929,0.0,96.2,64.0,0,0
2026-01-04 08:15,retail_1,retail,49.7,150,0.331,30,1,14.69,10.0,1.469,0.0,86.7,0.0,0,0
2026-01-04 09:00,retail_1,retail,40.8,150,0.272,30,1,11.89,10.0,1.189,0.0,76.0,0.0,0,0
2026-01-04 09:45,retail_1,retail,31.2,150,0.208,30,1,12.75,10.0,1.275,0.0,103.6,0.0,0,0
2026-01-04 10:30,retail_1,retail,26.3,150,0.175,30,0,6.66,10.0,0.666,0.0,88.5,74.0,0,0
2026-01-04 11:15,retail_1,retail,19.7,150,0.131,30,0,8.78,10.0,0.878,0.0,83.4,38.0,0,0
2026-01-04 12:00,retail_1,retail,12.6,150,0.084,30,0,9.47,10.0,0.947,0.0,92.1,44.0,0,0
2026-01-04 12:45,retail_1,retail,13.555965483088418,150,0.09,30,0,10.42,10.0,1.042,0.0,97.8,52.0,0,0
2026-01-04 13:30,retail_1,retail,9.61391112454907,150,0.064,30,0,9.81,10.0,0.981,0.0,88.8,53.0,0,0
2026-01-04 14:15,retail_1,retail,9.796915190461778,150,0.065,30,0,8.84,10.0,0.884,0.0,98.6,57.0,0,0
2026-01-04 15:00,retail_1,retail,11.770771979974207,150,0.078,30,0,10.03,10.0,1.003,0.0,97.1,64.0,0,0
2026-01-04 15:45,retail_1,retail,9.193703112993177,150,0.061,30,0,13.04,10.0,1.304,0.0,80.9,53.0,0,0
2026-01-04 16:30,retail_1,retail,67.3,150,0.449,30,1,11.74,10.0,1.174,0.0,83.9,0.0,0,0
2026-01-04 17:15,retail_1,retail,57.4,150,0.383,30,1,13.22,10.0,1.322,0.0,96.2,0.0,0,0
2026-01-04 18:00,retail_1,retail,49.4,150,0.329,30,1,10.62,10.0,1.062,0.0,70.0,0.0,0,0
2026-01-04 18:45,retail_1,retail,40.1,150,0.267,30,1,12.42,10.0,1.242,0.0,87.9,0.0,0,0
2026-01-04 19:30,retail_1,retail,31.2,150,0.208,30,1,11.87,10.0,1.187,0.0,78.3,0.0,0,0
2026-01-04 20:15,retail_1,retail,27.9,150,0.186,30,0,4.43,10.0,0.443,0.0,85.4,59.0,0,0
2026-01-04 21:00,retail_1,retail,24.5,150,0.163,30,0,4.44,10.0,0.444,0.0,86.8,50.0,0,0
2026-01-04 21:45,retail_1,retail,21.0,150,0.14,30,0,4.71,10.0,0.471,0.0,86.3,56.0,0,0
2026-01-04 22:30,retail_1,retail,17.3,150,0.115,30,0,4.99,10.0,0.499,0.0,84.9,47.0,0,0
2026-01-04 23:15,retail_1,retail,14.9,150,0.099,30,0,3.12,10.0,0.312,0.0,80.8,40.0,0,0
2026-01-05 00:00,retail_1,retail,13.3,150,0.089,30,0,2.14,10.0,0.214,0.0,106.2,55.0,0,0
2026-01-05 00:45,retail_1,retail,77.7,150,0.518,30,1,3.05,10.0,0.305,0.0,103.0,0.0,0,0
2026-01-05 01:30,retail_1,retail,75.3,150,0.502,30,1,3.11,10.0,0.311,0.0,80.3,0.0,0,0
2026-01-05 02:15,retail_1,retail,72.9,150,0.486,30,1,3.28,10.0,0.328,0.0,100.9,0.0,0,0
2026-01-05 03:00,retail_1,retail,70.7,150,0.471,30,1,2.87,10.0,0.287,0.0,86.0,0.0,0,0
2026-01-05 03:45,retail_1,retail,68.3,150,0.455,30,1,3.2,10.0,0.32,0.0,90.0,0.0,0,0
2026-01-05 04:30,retail_1,retail,65.9,150,0.439,30,1,3.26,10.0,0.326,0.0,88.5,0.0,0,0
2026-01-05 05:15,retail_1,retail,63.7,150,0.425,30,1,2.87,10.0,0.287,0.0,84.1,0.0,0,0
2026-01-05 06:00,retail_1,retail,53.6,150,0.357,30,1,13.47,10.0,1.347,0.0,96.4,0.0,0,0
2026-01-05 06:45,retail_1,retail,44.6,150,0.297,30,1,12.09,10.0,1.209,0.0,89.9,0.0,0,0
2026-01-05 07:30,retail_1,retail,35.0,150,0.233,30,1,12.7,10.0,1.27,0.0,85.4,0.0,0,0
2026-01-05 08:15,retail_1,retail,26.1,150,0.174,30,0,11.91,10.0,1.191,0.0,79.2,35.0,0,0
2026-01-05 09:00,retail_1,retail,76.7,150,0.511,30,1,15.28,10.0,1.528,0.0,82.3,0.0,0,0
2026-01-05 09:45,retail_1,retail,67.1,150,0.447,30,1,12.79,10.0,1.279,0.0,76.7,0.0,0,0
2026-01-05 10:30,retail_1,retail,61.3,150,0.409,30,1,7.64,10.0,0.764,0.0,89.1,0.0,0,0
2026-01-05 11:15,retail_1,retail,54.5,150,0.363,30,1,9.14,10.0,0.914,0.0,80.0,0.0,0,0
2026-01-05 12:00,retail_1,retail,49.7,150,0.331,30,1,6.32,10.0,0.632,0.0,87.0,0.0,0,0
2026-01-05 12:45,retail_1,retail,43.5,150,0.29,30,1,8.34,10.0,0.834,0.0,99.3,0.0,0,0
2026-01-05 13:30,retail_1,retail,37.1,150,0.247,30,1,8.57,10.0,0.857,0.0,98.0,0.0,0,0
2026-01-05 14:15,retail_1,retail,30.8,150,0.205,30,1,8.35,10.0,0.835,0.0,88.8,0.0,0,0
2026-01-05 15:00,retail_1,retail,21.6,150,0.144,30,0,12.2,10.0,1.22,0.0,88.3,50.0,0,0
2026-01-05 15:45,retail_1,retail,13.4,150,0.089,30,0,10.99,10.0,1.099,0.0,103.1,52.0,0,0
2026-01-05 16:30,retail_1,retail,12.69776164141727,150,0.085,30,0,11.39,10.0,1.139,0.0,92.9,59.0,0,0
2026-01-05 17:15,retail_1,retail,45.2,150,0.301,30,1,12.98,10.0,1.298,0.0,86.5,0.0,0,0
2026-01-05 18:00,retail_1,retail,37.1,150,0.247,30,1,10.8,10.0,1.08,0.0,78.3,0.0,0,0
2026-01-05 18:45,retail_1,retail,25.2,150,0.168,30,0,15.97,10.0,1.597,0.0,92.0,43.0,0,0
2026-01-05 19:30,retail_1,retail,19.1,150,0.127,30,0,8.07,10.0,0.807,0.0,95.2,36.0,0,0
2026-01-05 20:15,retail_1,retail,15.7,150,0.105,30,0,4.58,10.0,0.458,0.0,84.3,55.0,0,0
2026-01-05 21:00,retail_1,retail,12.0,150,0.08,30,0,4.87,10.0,0.487,0.0,91.2,60.0,0,0
2026-01-05 21:45,retail_1,retail,8.2,150,0.055,30,0,5.14,10.0,0.514,0.0,86.3,71.0,0,0
2026-01-05 22:30,retail_1,retail,5.0,150,0.033,30,0,4.18,10.0,0.418,0.0,87.6,37.0,0,0
