tick,timestamp,node_id,node_type,disrupted,available_supply,production_capacity,mortality_rate,processing_capacity,output_stock,inventory_level,pending_shipments,retail_inventory,safety_stock,stockout_flag,shortage_duration,sales_rate,reorder_request,scenario_id,mode
0,2026-02-20 06:00,supplier_1,supplier,0,914.78,,,,,,,,,,,,,26,hitl
0,2026-02-20 06:00,farm_1,farm,0,,800.0,0.0203,,,,,,,,,,,26,hitl
0,2026-02-20 06:00,slaughterhouse_1,slaughterhouse,0,,,,474.0,313.56,,,,,,,,,26,hitl
0,2026-02-20 06:00,wholesaler_1,wholesaler,0,,,,,,163.96,6.1,,,,,,,26,hitl
0,2026-02-20 06:00,retail_1,retail,0,,,,,,,,85.12,30.0,0.0,0.0,3.17,0.0,26,hitl
1,2026-02-20 06:15,supplier_1,supplier,0,913.89,,,,,,,,,,,,,26,hitl
1,2026-02-20 06:15,farm_1,farm,0,,800.0,0.0203,,,,,,,,,,,26,hitl
1,2026-02-20 06:15,slaughterhouse_1,slaughterhouse,0,,,,474.0,325.89,,,,,,,,,26,hitl
1,2026-02-20 06:15,wholesaler_1,wholesaler,0,,,,,,185.0,6.1,,,,,,,26,hitl
1,2026-02-20 06:15,retail_1,retail,0,,,,,,,,92.33,30.0,0.0,0.0,3.17,0.0,26,hitl
2,2026-02-20 06:30,supplier_1,supplier,0,912.44,,,,,,,,,,,,,26,hitl
2,2026-02-20 06:30,farm_1,farm,0,,800.0,0.0203,,,,,,,,,,,26,hitl
2,2026-02-20 06:30,slaughterhouse_1,slaughterhouse,0,,,,474.0,339.63,,,,,,,,,26,hitl
2,2026-02-20 06:30,wholesaler_1,wholesaler,0,,,,,,183.03,6.1,,,,,,,26,hitl
2,2026-02-20 06:30,retail_1,retail,0,,,,,,,,91.58,30.0,0.0,0.0,3.17,0.0,26,hitl
3,2026-02-20 06:45,supplier_1,supplier,0,911.17,,,,,,,,,,,,,26,hitl
3,2026-02-20 06:45,farm_1,farm,0,,800.0,0.0203,,,,,,,,,,,26,hitl
3,2026-02-20 06:45,slaughterhouse_1,slaughterhouse,0,,,,474.0,353.8,,,,,,,,,26,hitl
3,2026-02-20 06:45,wholesaler_1,wholesaler,0,,,,,,181.49,6.1,,,,,,,26,hitl
3,2026-02-20 06:45,retail_1,retail,0,,,,,,,,90.78,30.0,0.0,0.0,3.17,0.0,26,hitl
4,2026-02-20 07:00,supplier_1,supplier,0,909.97,,,,,,,,,,,,,26,hitl
4,2026-02-20 07:00,farm_1,farm,0,,800.0,0.0203,,,,,,,,,,,26,hitl
4,2026-02-20 07:00,slaughterhouse_1,slaughterhouse,0,,,,474.0,366.02,,,,,,,,,26,hitl
4,2026-02-20 07:00,wholesaler_1,wholesaler,0,,,,,,171.05,6.1,,,,,,,26,hitl
4,2026-02-20 07:00,retail_1,retail,0,,,,,,,,89.98,30.0,0.0,0.0,3.17,0.0,26,hitl
5,2026-02-20 07:15,supplier_1,supplier,0,909.45,,,,,,,,,,,,,26,hitl
5,2026-02-20 07:15,farm_1,farm,0,,800.0,0.0203,,,,,,,,,,,26,hitl
5,2026-02-20 07:15,slaughterhouse_1,slaughterhouse,0,,,,474.0,379.47,,,,,,,,,26,hitl
5,2026-02-20 07:15,wholesaler_1,wholesaler,0,,,,,,168.28,6.1,,,,,,,26,hitl
5,2026-02-20 07:15,retail_1,retail,0,,,,,,,,97.21,30.0,0.0,0.0,3.17,0.0,26,hitl
6,2026-02-20 07:30,supplier_1,supplier,0,908.22,,,,,,,,,,,,,26,hitl
6,2026-02-20 07:30,farm_1,farm,0,,800.0,0.0203,,,,,,,,,,,26,hitl
