tick,timestamp,tier,rule_id,urgency,urgency_reason,global_pattern,disrupted_nodes,decision,response_time,modification_factor,n_instructions,instructions_summary,rationale,scenario_id
36,2026-03-28 15:00,farm,R4,normal,Gangguan lokal di Farm masih dapat diredam,0|1|0|0|0,farm,accept,1.664,1.0,1,outgoing_orders ×0.80,"Farm Manager menerima rekomendasi coordinator (R4, urgency=normal)",44
36,2026-03-28 15:00,slaughterhouse,R4,normal,Gangguan lokal di Farm masih dapat diredam,0|1|0|0|0,farm,accept,0.351,1.0,1,processing_capacity ×0.80,"Operations Manager menerima rekomendasi coordinator (R4, urgency=normal)",44
36,2026-03-28 15:00,retail,R4,normal,Gangguan lokal di Farm masih dapat diredam,0|1|0|0|0,farm,accept,0.256,1.0,1,reorder_request +20,"Store Manager menerima rekomendasi coordinator (R4, urgency=normal)",44
72,2026-03-29 00:00,wholesaler,R14,normal,Gangguan di Retail belum menjalar ke upstream,0|0|0|0|1,retail,accept,1.049,1.0,1,reorder_point ×1.10,"Distribution Manager menerima rekomendasi coordinator (R14, urgency=normal)",44
72,2026-03-29 00:00,retail,R14,normal,Gangguan di Retail belum menjalar ke upstream,0|0|0|0|1,retail,accept,0.135,1.0,2,reorder_request +25; demand_estimate ×1.10,"Store Manager menerima rekomendasi coordinator (R14, urgency=normal)",44
144,2026-03-29 18:00,wholesaler,R14,normal,Gangguan di Retail belum menjalar ke upstream,0|0|0|0|1,retail,modify,0.779,0.791,1,reorder_point ×1.10,Distribution Manager memodifikasi instruksi (faktor=0.79) — pendekatan lebih konservatif,44
144,2026-03-29 18:00,retail,R14,normal,Gangguan di Retail belum menjalar ke upstream,0|0|0|0|1,retail,override,0.202,0.4,2,reorder_request +25; demand_estimate ×1.10,Store Manager mengganti instruksi (faktor=0.40) — kebijakan lokal diprioritaskan,44
216,2026-03-30 12:00,wholesaler,R14,normal,Gangguan di Retail belum menjalar ke upstream,0|0|0|0|1,retail,accept,0.539,1.0,1,reorder_point ×1.10,"Distribution Manager menerima rekomendasi coordinator (R14, urgency=normal)",44
216,2026-03-30 12:00,retail,R14,normal,Gangguan di Retail belum menjalar ke upstream,0|0|0|0|1,retail,modify,0.197,0.754,2,reorder_request +25; demand_estimate ×1.10,Store Manager memodifikasi instruksi (faktor=0.75) — pendekatan lebih konservatif,44
240,2026-03-30 18:00,slaughterhouse,R9,high,Gangguan distribusi berdampak langsung pada ketersediaan Retail,0|0|0|1|1,wholesaler|retail,accept,0.638,1.0,1,output_stock ×1.15,"Operations Manager menerima rekomendasi coordinator (R9, urgency=high)",44
240,2026-03-30 18:00,wholesaler,R9,high,Gangguan distribusi berdampak langsung pada ketersediaan Retail,0|0|0|1|1,wholesaler|retail,modify,1.428,0.881,2,inventory_level ×1.00; pending_shipments ×0.50,Distribution Manager memodifikasi instruksi (faktor=0.88) — pendekatan lebih konservatif,44
240,2026-03-30 18:00,retail,R9,high,Gangguan distribusi berdampak langsung pada ketersediaan Retail,0|0|0|1|1,wholesaler|retail,accept,0.222,1.0,2,reorder_request +30; safety_stock ×1.10,"Store Manager menerima rekomendasi coordinator (R9, urgency=high)",44
