tick,timestamp,node_id,node_type,disrupted,mode,available_supply,production_capacity,mortality_rate,processing_capacity,output_stock,inventory_level,pending_shipments,retail_inventory,safety_stock,stockout_flag,shortage_duration,sales_rate,reorder_request,scenario_id
0,2026-01-03 06:00,supplier_1,supplier,0,reactive,920.67,,,,,,,,,,,,,2
0,2026-01-03 06:00,farm_1,farm,0,reactive,,759.0,0.0222,,,,,,,,,,,2
0,2026-01-03 06:00,slaughterhouse_1,slaughterhouse,0,reactive,,,,481.0,271.88,,,,,,,,,2
0,2026-01-03 06:00,wholesaler_1,wholesaler,1,reactive,,,,,,56.38,16.5,,,,,,,2
0,2026-01-03 06:00,retail_1,retail,0,reactive,,,,,,,,32.5,30.0,0.0,0.0,4.55,0.0,2
1,2026-01-03 06:15,supplier_1,supplier,0,reactive,919.56,,,,,,,,,,,,,2
1,2026-01-03 06:15,farm_1,farm,0,reactive,,759.0,0.0222,,,,,,,,,,,2
1,2026-01-03 06:15,slaughterhouse_1,slaughterhouse,0,reactive,,,,481.0,285.03,,,,,,,,,2
1,2026-01-03 06:15,wholesaler_1,wholesaler,1,reactive,,,,,,54.12,16.5,,,,,,,2
1,2026-01-03 06:15,retail_1,retail,0,reactive,,,,,,,,31.31,30.0,0.0,0.0,4.55,0.0,2
2,2026-01-03 06:30,supplier_1,supplier,0,reactive,918.1,,,,,,,,,,,,,2
2,2026-01-03 06:30,farm_1,farm,0,reactive,,759.0,0.0222,,,,,,,,,,,2
2,2026-01-03 06:30,slaughterhouse_1,slaughterhouse,0,reactive,,,,481.0,298.22,,,,,,,,,2
2,2026-01-03 06:30,wholesaler_1,wholesaler,1,reactive,,,,,,52.45,16.5,,,,,,,2
2,2026-01-03 06:30,retail_1,retail,0,reactive,,,,,,,,30.25,30.0,0.0,0.0,4.55,0.0,2
3,2026-01-03 06:45,supplier_1,supplier,0,reactive,916.64,,,,,,,,,,,,,2
3,2026-01-03 06:45,farm_1,farm,0,reactive,,759.0,0.0222,,,,,,,,,,,2
3,2026-01-03 06:45,slaughterhouse_1,slaughterhouse,0,reactive,,,,481.0,312.39,,,,,,,,,2
3,2026-01-03 06:45,wholesaler_1,wholesaler,1,reactive,,,,,,40.98,16.5,,,,,,,2
3,2026-01-03 06:45,retail_1,retail,0,reactive,,,,,,,,29.19,30.0,0.0,0.25,4.55,0.0,2
4,2026-01-03 07:00,supplier_1,supplier,0,reactive,915.5,,,,,,,,,,,,,2
4,2026-01-03 07:00,farm_1,farm,0,reactive,,759.0,0.0222,,,,,,,,,,,2
4,2026-01-03 07:00,slaughterhouse_1,slaughterhouse,0,reactive,,,,481.0,295.65,,,,,,,,,2
4,2026-01-03 07:00,wholesaler_1,wholesaler,1,reactive,,,,,,38.17,16.5,,,,,,,2
4,2026-01-03 07:00,retail_1,retail,0,reactive,,,,,,,,28.12,30.0,0.0,0.5,4.55,0.0,2
5,2026-01-03 07:15,supplier_1,supplier,0,reactive,914.34,,,,,,,,,,,,,2
5,2026-01-03 07:15,farm_1,farm,0,reactive,,759.0,0.0222,,,,,,,,,,,2
5,2026-01-03 07:15,slaughterhouse_1,slaughterhouse,0,reactive,,,,481.0,308.24,,,,,,,,,2
5,2026-01-03 07:15,wholesaler_1,wholesaler,1,reactive,,,,,,35.83,16.5,,,,,,,2
5,2026-01-03 07:15,retail_1,retail,0,reactive,,,,,,,,27.08,30.0,0.0,0.75,4.55,0.0,2
6,2026-01-03 07:30,supplier_1,supplier,0,reactive,913.67,,,,,,,,,,,,,2
6,2026-01-03 07:30,farm_1,farm,0,reactive,,759.0,0.0222,,,,,,,,,,,2
6,2026-01-03 07:30,slaughterhouse_1,slaughterhouse,0,reactive,,,,481.0,320.94,,,,,,,,,2
6,2026-01-03 07:30,wholesaler_1,wholesaler,1,reactive,,,,,,24.65,16.5,,,,,,,2
6,2026-01-03 07:30,retail_1,retail,0,reactive,,,,,,,,25.86,30.0,0.0,1.0,4.55,0.0,2
7,2026-01-03 07:45,supplier_1,supplier,0,reactive,912.18,,,,,,,,,,,,,2
7,2026-01-03 07:45,farm_1,farm,0,reactive,,759.0,0.0222,,,,,,,,,,,2
7,2026-01-03 07:45,slaughterhouse_1,slaughterhouse,0,reactive,,,,481.0,334.02,,,,,,,,,2
7,2026-01-03 07:45,wholesaler_1,wholesaler,1,reactive,,,,,,22.38,16.5,,,,,,,2
7,2026-01-03 07:45,retail_1,retail,0,reactive,,,,,,,,24.84,30.0,0.0,1.25,4.55,0.0,2
8,2026-01-03 08:00,supplier_1,supplier,0,reactive,910.97,,,,,,,,,,,,,2
8,2026-01-03 08:00,farm_1,farm,0,reactive,,759.0,0.0222,,,,,,,,,,,2
8,2026-01-03 08:00,slaughterhouse_1,slaughterhouse,0,reactive,,,,481.0,318.2,,,,,,,,,2
8,2026-01-03 08:00,wholesaler_1,wholesaler,1,reactive,,,,,,19.79,16.5,,,,,,,2
8,2026-01-03 08:00,retail_1,retail,0,reactive,,,,,,,,23.61,30.0,0.0,1.5,4.55,0.0,2
9,2026-01-03 08:15,supplier_1,supplier,0,reactive,909.76,,,,,,,,,,,,,2
9,2026-01-03 08:15,farm_1,farm,0,reactive,,759.0,0.0222,,,,,,,,,,,2
9,2026-01-03 08:15,slaughterhouse_1,slaughterhouse,0,reactive,,,,481.0,332.48,,,,,,,,,2
9,2026-01-03 08:15,wholesaler_1,wholesaler,1,reactive,,,,,,16.97,16.5,,,,,,,2
9,2026-01-03 08:15,retail_1,retail,0,reactive,,,,,,,,22.58,30.0,0.0,1.75,4.55,0.0,2
10,2026-01-03 08:30,supplier_1,supplier,0,reactive,908.8,,,,,,,,,,,,,2
10,2026-01-03 08:30,farm_1,farm,0,reactive,,759.0,0.0222,,,,,,,,,,,2
10,2026-01-03 08:30,slaughterhouse_1,slaughterhouse,0,reactive,,,,481.0,344.98,,,,,,,,,2
10,2026-01-03 08:30,wholesaler_1,wholesaler,1,reactive,,,,,,15.24,16.5,,,,,,,2
10,2026-01-03 08:30,retail_1,retail,0,reactive,,,,,,,,21.31,30.0,0.0,2.0,4.55,0.0,2
11,2026-01-03 08:45,supplier_1,supplier,0,reactive,908.03,,,,,,,,,,,,,2
11,2026-01-03 08:45,farm_1,farm,0,reactive,,759.0,0.0222,,,,,,,,,,,2
11,2026-01-03 08:45,slaughterhouse_1,slaughterhouse,0,reactive,,,,481.0,357.6,,,,,,,,,2
11,2026-01-03 08:45,wholesaler_1,wholesaler,1,reactive,,,,,,13.54,16.5,,,,,,,2
11,2026-01-03 08:45,retail_1,retail,1,reactive,,,,,,,,20.22,30.0,0.0,2.25,4.55,0.0,2
