tick,timestamp,tier,rule_id,urgency,urgency_reason,global_pattern,disrupted_nodes,decision,response_time,modification_factor,n_instructions,instructions_summary,rationale,scenario_id
36,2026-01-03 15:00,farm,R4,normal,Gangguan lokal di Farm masih dapat diredam,0|1|0|0|0,farm,accept,1.148,1.0,1,outgoing_orders ×0.80,"Farm Manager menerima rekomendasi coordinator (R4, urgency=normal)",2
36,2026-01-03 15:00,slaughterhouse,R4,normal,Gangguan lokal di Farm masih dapat diredam,0|1|0|0|0,farm,accept,0.446,1.0,1,processing_capacity ×0.80,"Operations Manager menerima rekomendasi coordinator (R4, urgency=normal)",2
36,2026-01-03 15:00,retail,R4,normal,Gangguan lokal di Farm masih dapat diredam,0|1|0|0|0,farm,accept,0.133,1.0,1,reorder_request +20,"Store Manager menerima rekomendasi coordinator (R4, urgency=normal)",2
108,2026-01-04 09:00,farm,R4,normal,Gangguan lokal di Farm masih dapat diredam,0|1|0|0|0,farm,modify,1.484,0.855,1,outgoing_orders ×0.80,Farm Manager memodifikasi instruksi (faktor=0.86) — pendekatan lebih konservatif,2
108,2026-01-04 09:00,slaughterhouse,R4,normal,Gangguan lokal di Farm masih dapat diredam,0|1|0|0|0,farm,accept,0.605,1.0,1,processing_capacity ×0.80,"Operations Manager menerima rekomendasi coordinator (R4, urgency=normal)",2
108,2026-01-04 09:00,retail,R4,normal,Gangguan lokal di Farm masih dapat diredam,0|1|0|0|0,farm,accept,0.214,1.0,1,reorder_request +20,"Store Manager menerima rekomendasi coordinator (R4, urgency=normal)",2
180,2026-01-05 03:00,farm,R4,normal,Gangguan lokal di Farm masih dapat diredam,0|1|0|0|0,farm,accept,0.763,1.0,1,outgoing_orders ×0.80,"Farm Manager menerima rekomendasi coordinator (R4, urgency=normal)",2
180,2026-01-05 03:00,slaughterhouse,R4,normal,Gangguan lokal di Farm masih dapat diredam,0|1|0|0|0,farm,accept,0.844,1.0,1,processing_capacity ×0.80,"Operations Manager menerima rekomendasi coordinator (R4, urgency=normal)",2
180,2026-01-05 03:00,retail,R4,normal,Gangguan lokal di Farm masih dapat diredam,0|1|0|0|0,farm,accept,0.131,1.0,1,reorder_request +20,"Store Manager menerima rekomendasi coordinator (R4, urgency=normal)",2
192,2026-01-05 06:00,farm,R5,high,Gangguan berantai Farm → RPH menghambat aliran produksi,0|1|1|0|0,farm|slaughterhouse,timeout,2.056,1.0,1,outgoing_orders ×0.60,Farm Manager tidak merespons dalam 2.0h → auto-accept,2
192,2026-01-05 06:00,slaughterhouse,R5,high,Gangguan berantai Farm → RPH menghambat aliran produksi,0|1|1|0|0,farm|slaughterhouse,accept,0.539,1.0,2,processing_delay -1.0; queue_length ×0.90,"Operations Manager menerima rekomendasi coordinator (R5, urgency=high)",2
192,2026-01-05 06:00,wholesaler,R5,high,Gangguan berantai Farm → RPH menghambat aliran produksi,0|1|1|0|0,farm|slaughterhouse,accept,1.005,1.0,2,pending_shipments ×0.70; inventory_level ×1.00,"Distribution Manager menerima rekomendasi coordinator (R5, urgency=high)",2
216,2026-01-05 12:00,farm,R6,normal,Gangguan tunggal di RPH masih bisa dikompensasi,0|0|1|0|0,slaughterhouse,timeout,2.087,1.0,1,outgoing_orders ×0.75,Farm Manager tidak merespons dalam 2.0h → auto-accept,2
216,2026-01-05 12:00,slaughterhouse,R6,normal,Gangguan tunggal di RPH masih bisa dikompensasi,0|0|1|0|0,slaughterhouse,accept,0.1,1.0,2,worker_availability ×1.10; processing_delay -1.0,"Operations Manager menerima rekomendasi coordinator (R6, urgency=normal)",2
216,2026-01-05 12:00,wholesaler,R6,normal,Gangguan tunggal di RPH masih bisa dikompensasi,0|0|1|0|0,slaughterhouse,accept,1.202,1.0,1,reorder_point ×1.15,"Distribution Manager menerima rekomendasi coordinator (R6, urgency=normal)",2
232,2026-01-05 16:00,farm,R7,high,Pemrosesan dan distribusi terganggu bersamaan,0|0|1|1|0,slaughterhouse|wholesaler,timeout,2.322,1.0,1,outgoing_orders ×0.65,Farm Manager tidak merespons dalam 2.0h → auto-accept,2
232,2026-01-05 16:00,slaughterhouse,R7,high,Pemrosesan dan distribusi terganggu bersamaan,0|0|1|1|0,slaughterhouse|wholesaler,accept,0.28,1.0,1,output_stock ×1.10,"Operations Manager menerima rekomendasi coordinator (R7, urgency=high)",2
232,2026-01-05 16:00,wholesaler,R7,high,Pemrosesan dan distribusi terganggu bersamaan,0|0|1|1|0,slaughterhouse|wholesaler,accept,0.825,1.0,3,delivery_schedule='rerouted'; pending_shipments ×0.60; inventory_level ×1.00,"Distribution Manager menerima rekomendasi coordinator (R7, urgency=high)",2
232,2026-01-05 16:00,retail,R7,high,Pemrosesan dan distribusi terganggu bersamaan,0|0|1|1|0,slaughterhouse|wholesaler,accept,0.217,1.0,1,reorder_request +35,"Store Manager menerima rekomendasi coordinator (R7, urgency=high)",2
