tick,timestamp,tier,rule_id,urgency,urgency_reason,global_pattern,disrupted_nodes,decision,response_time,modification_factor,n_instructions,instructions_summary,rationale,scenario_id
36,2026-06-26 15:00,farm,R4,normal,Gangguan lokal di Farm masih dapat diredam,0|1|0|0|0,farm,accept,1.285,1.0,1,outgoing_orders ×0.80,"Farm Manager menerima rekomendasi coordinator (R4, urgency=normal)",89
36,2026-06-26 15:00,slaughterhouse,R4,normal,Gangguan lokal di Farm masih dapat diredam,0|1|0|0|0,farm,modify,0.565,0.993,1,processing_capacity ×0.80,Operations Manager memodifikasi instruksi (faktor=0.99) — pendekatan lebih konservatif,89
36,2026-06-26 15:00,retail,R4,normal,Gangguan lokal di Farm masih dapat diredam,0|1|0|0|0,farm,modify,0.269,0.894,1,reorder_request +20,Store Manager memodifikasi instruksi (faktor=0.89) — pendekatan lebih konservatif,89
108,2026-06-27 09:00,farm,R4,normal,Gangguan lokal di Farm masih dapat diredam,0|1|0|0|0,farm,accept,0.05,1.0,1,outgoing_orders ×0.80,"Farm Manager menerima rekomendasi coordinator (R4, urgency=normal)",89
108,2026-06-27 09:00,slaughterhouse,R4,normal,Gangguan lokal di Farm masih dapat diredam,0|1|0|0|0,farm,accept,0.659,1.0,1,processing_capacity ×0.80,"Operations Manager menerima rekomendasi coordinator (R4, urgency=normal)",89
108,2026-06-27 09:00,retail,R4,normal,Gangguan lokal di Farm masih dapat diredam,0|1|0|0|0,farm,accept,0.407,1.0,1,reorder_request +20,"Store Manager menerima rekomendasi coordinator (R4, urgency=normal)",89
120,2026-06-27 12:00,farm,R5,high,Gangguan berantai Farm → RPH menghambat aliran produksi,0|1|1|0|0,farm|slaughterhouse,modify,1.77,0.793,1,outgoing_orders ×0.60,Farm Manager memodifikasi instruksi (faktor=0.79) — pendekatan lebih konservatif,89
120,2026-06-27 12:00,slaughterhouse,R5,high,Gangguan berantai Farm → RPH menghambat aliran produksi,0|1|1|0|0,farm|slaughterhouse,accept,0.122,1.0,2,processing_delay -1.0; queue_length ×0.90,"Operations Manager menerima rekomendasi coordinator (R5, urgency=high)",89
120,2026-06-27 12:00,wholesaler,R5,high,Gangguan berantai Farm → RPH menghambat aliran produksi,0|1|1|0|0,farm|slaughterhouse,accept,1.488,1.0,2,pending_shipments ×0.70; inventory_level ×1.00,"Distribution Manager menerima rekomendasi coordinator (R5, urgency=high)",89
144,2026-06-27 18:00,farm,R6,normal,Gangguan tunggal di RPH masih bisa dikompensasi,0|0|1|0|0,slaughterhouse,timeout,2.931,1.0,1,outgoing_orders ×0.75,Farm Manager tidak merespons dalam 2.0h → auto-accept,89
144,2026-06-27 18:00,slaughterhouse,R6,normal,Gangguan tunggal di RPH masih bisa dikompensasi,0|0|1|0|0,slaughterhouse,accept,0.497,1.0,2,worker_availability ×1.10; processing_delay -1.0,"Operations Manager menerima rekomendasi coordinator (R6, urgency=normal)",89
144,2026-06-27 18:00,wholesaler,R6,normal,Gangguan tunggal di RPH masih bisa dikompensasi,0|0|1|0|0,slaughterhouse,modify,1.364,0.819,1,reorder_point ×1.15,Distribution Manager memodifikasi instruksi (faktor=0.82) — pendekatan lebih konservatif,89
144,2026-06-27 18:00,farm,R7,high,Pemrosesan dan distribusi terganggu bersamaan,0|0|1|1|0,slaughterhouse|wholesaler,accept,1.849,1.0,1,outgoing_orders ×0.65,"Farm Manager menerima rekomendasi coordinator (R7, urgency=high)",89
144,2026-06-27 18:00,slaughterhouse,R7,high,Pemrosesan dan distribusi terganggu bersamaan,0|0|1|1|0,slaughterhouse|wholesaler,accept,0.444,1.0,1,output_stock ×1.10,"Operations Manager menerima rekomendasi coordinator (R7, urgency=high)",89
144,2026-06-27 18:00,wholesaler,R7,high,Pemrosesan dan distribusi terganggu bersamaan,0|0|1|1|0,slaughterhouse|wholesaler,accept,1.151,1.0,3,delivery_schedule='rerouted'; pending_shipments ×0.60; inventory_level ×1.00,"Distribution Manager menerima rekomendasi coordinator (R7, urgency=high)",89
144,2026-06-27 18:00,retail,R7,high,Pemrosesan dan distribusi terganggu bersamaan,0|0|1|1|0,slaughterhouse|wholesaler,accept,0.213,1.0,1,reorder_request +35,"Store Manager menerima rekomendasi coordinator (R7, urgency=high)",89
