tick,timestamp,node_id,node_type,disrupted,available_supply,production_capacity,mortality_rate,processing_capacity,output_stock,inventory_level,pending_shipments,retail_inventory,safety_stock,stockout_flag,shortage_duration,sales_rate,reorder_request,scenario_id,mode
0,2026-04-23 06:00,supplier_1,supplier,0,925.19,,,,,,,,,,,,,57,hitl
0,2026-04-23 06:00,farm_1,farm,0,,745.0,0.0193,,,,,,,,,,,57,hitl
0,2026-04-23 06:00,slaughterhouse_1,slaughterhouse,0,,,,356.0,201.5,,,,,,,,,57,hitl
0,2026-04-23 06:00,wholesaler_1,wholesaler,0,,,,,,173.92,6.5,,,,,,,57,hitl
0,2026-04-23 06:00,retail_1,retail,0,,,,,,,,88.69,30.0,0.0,0.0,14.48,0.0,57,hitl
1,2026-04-23 06:15,supplier_1,supplier,0,923.87,,,,,,,,,,,,,57,hitl
1,2026-04-23 06:15,farm_1,farm,0,,745.0,0.0193,,,,,,,,,,,57,hitl
1,2026-04-23 06:15,slaughterhouse_1,slaughterhouse,0,,,,356.0,211.83,,,,,,,,,57,hitl
1,2026-04-23 06:15,wholesaler_1,wholesaler,0,,,,,,196.01,6.5,,,,,,,57,hitl
1,2026-04-23 06:15,retail_1,retail,0,,,,,,,,93.18,30.0,0.0,0.0,14.48,0.0,57,hitl
2,2026-04-23 06:30,supplier_1,supplier,0,923.2,,,,,,,,,,,,,57,hitl
2,2026-04-23 06:30,farm_1,farm,0,,745.0,0.0193,,,,,,,,,,,57,hitl
2,2026-04-23 06:30,slaughterhouse_1,slaughterhouse,0,,,,356.0,221.71,,,,,,,,,57,hitl
2,2026-04-23 06:30,wholesaler_1,wholesaler,0,,,,,,193.91,6.5,,,,,,,57,hitl
2,2026-04-23 06:30,retail_1,retail,0,,,,,,,,89.99,30.0,0.0,0.0,14.48,0.0,57,hitl
3,2026-04-23 06:45,supplier_1,supplier,0,922.07,,,,,,,,,,,,,57,hitl
3,2026-04-23 06:45,farm_1,farm,0,,745.0,0.0193,,,,,,,,,,,57,hitl
3,2026-04-23 06:45,slaughterhouse_1,slaughterhouse,0,,,,356.0,231.37,,,,,,,,,57,hitl
3,2026-04-23 06:45,wholesaler_1,wholesaler,0,,,,,,191.52,6.5,,,,,,,57,hitl
3,2026-04-23 06:45,retail_1,retail,0,,,,,,,,86.66,30.0,0.0,0.0,14.48,0.0,57,hitl
4,2026-04-23 07:00,supplier_1,supplier,0,920.86,,,,,,,,,,,,,57,hitl
4,2026-04-23 07:00,farm_1,farm,0,,745.0,0.0193,,,,,,,,,,,57,hitl
4,2026-04-23 07:00,slaughterhouse_1,slaughterhouse,0,,,,356.0,240.88,,,,,,,,,57,hitl
4,2026-04-23 07:00,wholesaler_1,wholesaler,0,,,,,,181.56,6.5,,,,,,,57,hitl
4,2026-04-23 07:00,retail_1,retail,0,,,,,,,,83.43,30.0,0.0,0.0,14.48,0.0,57,hitl
5,2026-04-23 07:15,supplier_1,supplier,0,920.22,,,,,,,,,,,,,57,hitl
5,2026-04-23 07:15,farm_1,farm,0,,745.0,0.0193,,,,,,,,,,,57,hitl
5,2026-04-23 07:15,slaughterhouse_1,slaughterhouse,0,,,,356.0,250.7,,,,,,,,,57,hitl
5,2026-04-23 07:15,wholesaler_1,wholesaler,0,,,,,,178.96,6.5,,,,,,,57,hitl
5,2026-04-23 07:15,retail_1,retail,0,,,,,,,,87.82,30.0,0.0,0.0,14.48,0.0,57,hitl
6,2026-04-23 07:30,supplier_1,supplier,0,918.98,,,,,,,,,,,,,57,hitl
6,2026-04-23 07:30,farm_1,farm,0,,745.0,0.0193,,,,,,,,,,,57,hitl
6,2026-04-23 07:30,slaughterhouse_1,slaughterhouse,0,,,,356.0,261.32,,,,,,,,,57,hitl
6,2026-04-23 07:30,wholesaler_1,wholesaler,0,,,,,,176.91,6.5,,,,,,,57,hitl
6,2026-04-23 07:30,retail_1,retail,0,,,,,,,,84.21,30.0,0.0,0.0,14.48,0.0,57,hitl
7,2026-04-23 07:45,supplier_1,supplier,0,917.87,,,,,,,,,,,,,57,hitl
7,2026-04-23 07:45,farm_1,farm,0,,745.0,0.0193,,,,,,,,,,,57,hitl
7,2026-04-23 07:45,slaughterhouse_1,slaughterhouse,0,,,,356.0,271.85,,,,,,,,,57,hitl
7,2026-04-23 07:45,wholesaler_1,wholesaler,0,,,,,,175.01,6.5,,,,,,,57,hitl
7,2026-04-23 07:45,retail_1,retail,0,,,,,,,,80.21,30.0,0.0,0.0,14.48,0.0,57,hitl
8,2026-04-23 08:00,supplier_1,supplier,0,917.29,,,,,,,,,,,,,57,hitl
8,2026-04-23 08:00,farm_1,farm,0,,745.0,0.0193,,,,,,,,,,,57,hitl
