timestamp,node_id,node_type,input_inventory,processing_capacity,max_capacity,queue_length,processing_delay,output_stock,max_output,equipment_status,hygiene_compliance,worker_availability,capacity_ratio,output_ratio,disrupted
2026-01-01 06:00,slaughterhouse_1,slaughterhouse,424.0,500.0,500,55.0,0.32,331.0,400,operational,0.958,0.984,1.0,0.828,0
2026-01-01 09:00,slaughterhouse_1,slaughterhouse,399.0,500.0,500,49.0,0.24,299.0,400,operational,0.967,0.903,1.0,0.748,0
2026-01-01 12:00,slaughterhouse_1,slaughterhouse,380.0,500.0,500,42.0,0.48,312.0,400,operational,0.956,0.961,1.0,0.78,0
2026-01-01 15:00,slaughterhouse_1,slaughterhouse,333.0,493.0,500,35.0,0.55,300.0,400,operational,0.964,0.919,0.986,0.75,0
2026-01-01 18:00,slaughterhouse_1,slaughterhouse,371.0,409.0,500,41.0,0.06,234.0,400,operational,0.936,0.913,0.818,0.585,0
2026-01-01 21:00,slaughterhouse_1,slaughterhouse,354.0,384.0,500,54.0,0.0,236.0,400,operational,0.974,0.954,0.768,0.59,0
2026-01-02 00:00,slaughterhouse_1,slaughterhouse,439.0,358.0,500,61.0,0.0,246.0,400,operational,0.97,0.945,0.716,0.615,0
2026-01-02 03:00,slaughterhouse_1,slaughterhouse,373.0,374.0,500,58.0,0.42,234.0,400,operational,0.955,0.86,0.748,0.585,0
2026-01-02 06:00,slaughterhouse_1,slaughterhouse,381.0,463.0,500,40.0,0.0,338.0,400,operational,0.982,0.976,0.926,0.845,0
2026-01-02 09:00,slaughterhouse_1,slaughterhouse,393.0,493.0,500,34.0,0.0,290.0,400,operational,0.987,0.972,0.986,0.725,0
2026-01-02 12:00,slaughterhouse_1,slaughterhouse,379.0,500.0,500,45.0,0.39,306.0,400,operational,0.941,0.896,1.0,0.765,0
2026-01-02 15:00,slaughterhouse_1,slaughterhouse,425.0,500.0,500,28.0,0.98,300.0,400,operational,0.956,0.935,1.0,0.75,0
2026-01-02 18:00,slaughterhouse_1,slaughterhouse,361.0,395.0,500,47.0,0.28,267.0,400,operational,0.956,0.939,0.79,0.668,0
2026-01-02 21:00,slaughterhouse_1,slaughterhouse,383.0,387.0,500,43.0,0.51,245.0,400,operational,0.953,0.93,0.774,0.612,0
2026-01-03 00:00,slaughterhouse_1,slaughterhouse,357.0,403.0,500,40.0,0.3,260.0,400,operational,0.985,0.899,0.806,0.65,0
2026-01-03 03:00,slaughterhouse_1,slaughterhouse,341.0,356.0,500,30.0,0.25,216.0,400,operational,0.967,0.894,0.712,0.54,0
2026-01-03 06:00,slaughterhouse_1,slaughterhouse,361.0,500.0,500,49.0,0.54,316.0,400,operational,0.965,0.919,1.0,0.79,0
