tick,timestamp,node_id,node_type,disrupted,available_supply,production_capacity,mortality_rate,processing_capacity,output_stock,inventory_level,pending_shipments,retail_inventory,safety_stock,stockout_flag,shortage_duration,sales_rate,reorder_request,scenario_id,mode
0,2026-04-07 06:00,supplier_1,supplier,0,921.75,,,,,,,,,,,,,49,hitl
0,2026-04-07 06:00,farm_1,farm,0,,772.0,0.0249,,,,,,,,,,,49,hitl
0,2026-04-07 06:00,slaughterhouse_1,slaughterhouse,0,,,,489.0,297.47,,,,,,,,,49,hitl
0,2026-04-07 06:00,wholesaler_1,wholesaler,0,,,,,,158.36,10.3,,,,,,,49,hitl
0,2026-04-07 06:00,retail_1,retail,0,,,,,,,,81.04,30.0,0.0,0.0,11.61,0.0,49,hitl
1,2026-04-07 06:15,supplier_1,supplier,0,920.93,,,,,,,,,,,,,49,hitl
1,2026-04-07 06:15,farm_1,farm,0,,772.0,0.0249,,,,,,,,,,,49,hitl
1,2026-04-07 06:15,slaughterhouse_1,slaughterhouse,0,,,,489.0,311.24,,,,,,,,,49,hitl
1,2026-04-07 06:15,wholesaler_1,wholesaler,0,,,,,,180.57,10.3,,,,,,,49,hitl
1,2026-04-07 06:15,retail_1,retail,0,,,,,,,,85.85,30.0,0.0,0.0,11.61,0.0,49,hitl
2,2026-04-07 06:30,supplier_1,supplier,0,919.54,,,,,,,,,,,,,49,hitl
2,2026-04-07 06:30,farm_1,farm,0,,772.0,0.0249,,,,,,,,,,,49,hitl
2,2026-04-07 06:30,slaughterhouse_1,slaughterhouse,0,,,,489.0,324.32,,,,,,,,,49,hitl
2,2026-04-07 06:30,wholesaler_1,wholesaler,0,,,,,,178.92,10.3,,,,,,,49,hitl
2,2026-04-07 06:30,retail_1,retail,0,,,,,,,,83.23,30.0,0.0,0.0,11.61,0.0,49,hitl
3,2026-04-07 06:45,supplier_1,supplier,0,918.18,,,,,,,,,,,,,49,hitl
3,2026-04-07 06:45,farm_1,farm,0,,772.0,0.0249,,,,,,,,,,,49,hitl
3,2026-04-07 06:45,slaughterhouse_1,slaughterhouse,0,,,,489.0,337.58,,,,,,,,,49,hitl
3,2026-04-07 06:45,wholesaler_1,wholesaler,0,,,,,,177.36,10.3,,,,,,,49,hitl
3,2026-04-07 06:45,retail_1,retail,0,,,,,,,,80.06,30.0,0.0,0.0,11.61,0.0,49,hitl
4,2026-04-07 07:00,supplier_1,supplier,0,917.17,,,,,,,,,,,,,49,hitl
4,2026-04-07 07:00,farm_1,farm,0,,772.0,0.0249,,,,,,,,,,,49,hitl
4,2026-04-07 07:00,slaughterhouse_1,slaughterhouse,0,,,,489.0,351.89,,,,,,,,,49,hitl
4,2026-04-07 07:00,wholesaler_1,wholesaler,0,,,,,,167.63,10.3,,,,,,,49,hitl
4,2026-04-07 07:00,retail_1,retail,0,,,,,,,,77.15,30.0,0.0,0.0,11.61,0.0,49,hitl
5,2026-04-07 07:15,supplier_1,supplier,0,915.77,,,,,,,,,,,,,49,hitl
5,2026-04-07 07:15,farm_1,farm,0,,772.0,0.0249,,,,,,,,,,,49,hitl
5,2026-04-07 07:15,slaughterhouse_1,slaughterhouse,0,,,,489.0,364.72,,,,,,,,,49,hitl
5,2026-04-07 07:15,wholesaler_1,wholesaler,0,,,,,,165.24,10.3,,,,,,,49,hitl
5,2026-04-07 07:15,retail_1,retail,0,,,,,,,,81.91,30.0,0.0,0.0,11.61,0.0,49,hitl
6,2026-04-07 07:30,supplier_1,supplier,0,914.86,,,,,,,,,,,,,49,hitl
6,2026-04-07 07:30,farm_1,farm,0,,772.0,0.0249,,,,,,,,,,,49,hitl
6,2026-04-07 07:30,slaughterhouse_1,slaughterhouse,0,,,,489.0,378.82,,,,,,,,,49,hitl
6,2026-04-07 07:30,wholesaler_1,wholesaler,0,,,,,,163.52,10.3,,,,,,,49,hitl
6,2026-04-07 07:30,retail_1,retail,0,,,,,,,,78.98,30.0,0.0,0.0,11.61,0.0,49,hitl
7,2026-04-07 07:45,supplier_1,supplier,0,913.74,,,,,,,,,,,,,49,hitl
7,2026-04-07 07:45,farm_1,farm,0,,772.0,0.0249,,,,,,,,,,,49,hitl
7,2026-04-07 07:45,slaughterhouse_1,slaughterhouse,0,,,,489.0,392.38,,,,,,,,,49,hitl
7,2026-04-07 07:45,wholesaler_1,wholesaler,0,,,,,,161.97,10.3,,,,,,,49,hitl
7,2026-04-07 07:45,retail_1,retail,0,,,,,,,,76.07,30.0,0.0,0.0,11.61,0.0,49,hitl
8,2026-04-07 08:00,supplier_1,supplier,0,912.96,,,,,,,,,,,,,49,hitl
8,2026-04-07 08:00,farm_1,farm,0,,772.0,0.0249,,,,,,,,,,,49,hitl
8,2026-04-07 08:00,slaughterhouse_1,slaughterhouse,0,,,,489.0,376.0,,,,,,,,,49,hitl
8,2026-04-07 08:00,wholesaler_1,wholesaler,0,,,,,,151.2,10.3,,,,,,,49,hitl
8,2026-04-07 08:00,retail_1,retail,0,,,,,,,,73.05,30.0,0.0,0.0,11.61,0.0,49,hitl
9,2026-04-07 08:15,supplier_1,supplier,0,911.51,,,,,,,,,,,,,49,hitl
9,2026-04-07 08:15,farm_1,farm,0,,772.0,0.0249,,,,,,,,,,,49,hitl
9,2026-04-07 08:15,slaughterhouse_1,slaughterhouse,0,,,,489.0,389.77,,,,,,,,,49,hitl
9,2026-04-07 08:15,wholesaler_1,wholesaler,0,,,,,,173.48,10.3,,,,,,,49,hitl
9,2026-04-07 08:15,retail_1,retail,0,,,,,,,,78.16,30.0,0.0,0.0,11.61,0.0,49,hitl
